username, created_at, lng, lat, text
TotalTrafficPHX, Tue Jan 26 23:55:43 +0000 2021, -112.108100, 33.437560, Accident  ---- 2 right lanes blocked in #Phoenix on I - 17 SB at Grant St --- Exit 199a #PHXtraffic https://t.co/hUIi7YWVvM 
TotalTrafficOKC, Tue Jan 26 23:55:43 +0000 2021, -97.486510, 35.424230, Multi-vehicle accident, in #Oklahoma on I-35 SB at SE 44th St/Exit 123, stop and go traffic back to SE Grand Blvd/E… https://t.co/0tLzI2dPxg 
TotalTrafficLA, Tue Jan 26 23:55:43 +0000 2021, -119.704600, 34.414280, Crash left lane blocked. in #SantaBarbara on US-101 SB at Carrillo St/Exit 98A, stopped traffic back to La Cumbre R… https://t.co/2ZuX7INinD 
NachinRivera, Tue Jan 26 23:55:43 +0000 2021, -75.386460, 39.145024, Pero subaleeeeee amistá @LeoEQ_ que se revienten mis malditas bocinas 🔊#ConvoyVsMalDelPuerco https://t.co/xPImCovNPI 
SummerourEdwin, Tue Jan 26 23:55:43 +0000 2021, -95.714683, 37.228200, @Vontae___ Go be great my boy🖤 
rklace, Tue Jan 26 23:55:43 +0000 2021, -92.131274, 34.751936, @CaslerNoel @RandPaul This was the day Trump showed him his Kompromat. https://t.co/RtlDVeRf56 
cincygreghoodin, Tue Jan 26 23:55:43 +0000 2021, -82.669467, 40.365160, @jgent15 @piedpiper0312 I’ve heard that in sone parts of the country they are , in fact, playing hoops 
bintouto3, Tue Jan 26 23:55:43 +0000 2021, -104.922093, 39.713563, What’s up guys “good or bad”💕💕💕🥰🥰🥰🥰🥰🥰🥰 https://t.co/UrhLmV94ZP 
hbagwell777, Tue Jan 26 23:55:43 +0000 2021, -73.091320, 41.205671, https://t.co/NW6xSG2wtO @ Bagwell Academy of Martial Arts https://t.co/TyxPhPOyfR 
iamsofakinggood, Tue Jan 26 23:55:43 +0000 2021, -85.722346, 38.195555, Write in peace @SekouSmithNBA 
StoneAndShadow, Tue Jan 26 23:55:43 +0000 2021, -79.818960, 43.245340, Just posted a photo @ Stone and Shadow https://t.co/gpH0lXi5in 
TotalTrafficCHA, Tue Jan 26 23:55:43 +0000 2021, -85.201480, 34.990240, Serious accident in #Chattanooga on Camp Jordan Pkwy at Ringgold Rd #traffic https://t.co/vROF4zhdQQ 
DrGMoyo, Tue Jan 26 23:55:43 +0000 2021, -79.272570, 43.629311, @LynneStactia That's why you saw mnangagwa he always promised folks shamhu ine munyu  hakuna nyika inotungamirirwa… https://t.co/Mp2B0tVLye 
Hoosier97Sarah, Tue Jan 26 23:55:44 +0000 2021, -86.441236, 39.766555, @mattgaetz @mattgaetz she’s doing the right thing, which is something you and most other republicans are currently unfamiliar with. 
SaraLeanneLoga1, Tue Jan 26 23:55:44 +0000 2021, -80.240128, 43.534199, @LJKOT7s14 This is the daughter good luck https://t.co/eDLHZiEirm 
aalvaareeezy, Tue Jan 26 23:55:44 +0000 2021, -118.411907, 34.020789, It’s going to be a rough and long week for me, I can already tell 
anmolscheema, Tue Jan 26 23:55:44 +0000 2021, -122.296281, 47.119286, Thread of the day 
priyology, Tue Jan 26 23:55:44 +0000 2021, -122.279521, 37.875845, @HannahRaeThomas Omg. This is amazing! 😂❤️ 
bryanthaynes1, Tue Jan 26 23:55:44 +0000 2021, -79.861034, 35.170499, @smc429 @GOP There is no negotiating with terrorists. No deals with Seditious, Insurrectionists. Republicans are po… https://t.co/fnO1xjc1Is 
ZeekSosa, Tue Jan 26 23:55:44 +0000 2021, -80.926628, 33.631140, Ine goin out like det rapper, ion do no Tippin https://t.co/ZdFykWFgj0 
Kenworlddd, Tue Jan 26 23:55:44 +0000 2021, -89.876449, 32.571032, @_therealamoney_ yeah. but that’s my brother step dad 😂 so it’s like the same thing. 
CalebTurrentine, Tue Jan 26 23:55:44 +0000 2021, -86.203781, 32.536046, https://t.co/BmKqF2JnXw 
NishYaFaveRed, Tue Jan 26 23:55:44 +0000 2021, -83.173867, 32.678207, I need some FaceTime tonight.Lemme send that text lol 
aleeesiaa, Tue Jan 26 23:55:44 +0000 2021, -90.011008, 29.982601, @mxzeeta thank you 😘😘❤️ 
sfships, Tue Jan 26 23:55:44 +0000 2021, -122.435979, 37.770657, Goodbye, tanker 🇸🇬BW MYNA! Have a great time in Vancouver, Canada! 
cooljeanius, Tue Jan 26 23:55:45 +0000 2021, -71.542562, 43.227570, @TimothyHorrigan @RepNicoleK @ashmarx9 another complaint I have with it is that I wish it would include the actual… https://t.co/4JCpUlJDIu 
ogilvie_keith, Tue Jan 26 23:55:45 +0000 2021, -97.326981, 27.879162, @Jim_Jordan The duality of liberal politicians and their media jesters is 🤮 
ek6145, Tue Jan 26 23:55:45 +0000 2021, -87.732013, 41.833585, @DavidM_Friedman We need to stop the Dems ASAP.They're back to their bad old anti-semitism 
Guiller58759625, Tue Jan 26 23:55:45 +0000 2021, -100.279473, 25.374897, @elisaalanis @JLozanoA No mames , tengo ropa sucia no vino hoy la lavandera ... sorry , ups ... anda en campaña !!! 
TheEricSantos, Tue Jan 26 23:55:45 +0000 2021, -84.976082, 34.767559, @badeen @tweetbot try “TweetBot 6”. 
WeirdBroken, Tue Jan 26 23:55:45 +0000 2021, -74.423014, 40.619580, This shit making made 
